"name","type","year_of_birth_or_formation","nationality"
"Britney Spears","artist",1981,"United States"
"blink-182","group",1992,"United States"
"Faith Hill","artist",1967,"United States"
"Bon Jovi","group",1983,"United States"
"*NSYNC","group",1995,"United States"
"Sisqo","artist",1978,"United States"
"Eminem","artist",1972,"United States"
"Robbie Williams","artist",1974,"United Kingdom"
"Destiny's Child","group",1990,"United States"
"Modjo","group",1999,"France"
"Gigi D'Agostino","artist",1967,"Italy"
"Eiffel 65","group",1998,"Italy"
"Bomfunk MC's","group",1998,"Finland"
"Sting","artist",1951,"United Kingdom"
"Melanie C","artist",1974,"United Kingdom"
"Aaliyah","artist",1979,"United States"
"Anastacia","artist",1968,"United States"
"Alice Deejay","group",1999,"Netherlands"
"Dr. Dre","artist",1965,"United States"
"Linkin Park","group",1996,"United States"
"Tom Jones","artist",1940,"United Kingdom"
"Sonique","artist",1969,"United Kingdom"
"M.O.P.","group",1986,"United States"
"Limp Bizkit","group",1994,"United States"
"Darude","artist",1975,"Finland"
"Da Brat","artist",1974,"United States"
"Moloko","group",1994,"Ireland"
"Chicane","artist",1971,"United Kingdom"
"DMX","artist",1970,"United States"
"Debelah Morgan","artist",1977,"United States"
"Madonna","artist",1958,"United States"
"Ruff Endz","group",1994,"United States"
"Montell Jordan","artist",1968,"United States"
"Kylie Minogue","artist",1968,"Australia"
"JAY-Z","artist",1969,"United States"
"LeAnn Rimes","artist",1982,"United States"
"Avant","artist",1978,"United States"
"Enrique Iglesias","artist",1975,"Spain"
"Toni Braxton","artist",1967,"United States"
"Bow Wow","artist",1987,"United States"
"Missy Elliott","artist",1971,"United States"
"Backstreet Boys","group",1993,"United States"
"Samantha Mumba","artist",1983,"Ireland"
"Mýa","artist",1979,"United States"
"Mary Mary","group",1998,"United States"
"Next","group",1992,"United States"
"Janet Jackson","artist",1966,"United States"
"Ricky Martin","artist",1971,"Puerto Rico"
"Jagged Edge","group",1995,"United States"
"Mariah Carey","artist",1969,"United States"
"Baha Men","group",1990,"Bahamas"
"Donell Jones","artist",1973,"United States"
"Oasis","group",1991,"United Kingdom"
"DJ Ötzi","artist",1971,"Austria"
"P!nk","artist",1979,"United States"
"Craig David","artist",1981,"United Kingdom"
"Christina Aguilera","artist",1980,"United States"
"Red Hot Chili Peppers","group",1983,"United States"
"Sammie","artist",1987,"United States"
"Santana","group",1966,"United States"
"Kandi","artist",1978,"United States"
"Vengaboys","group",1997,"Netherlands"
"Ronan Keating","artist",1977,"Ireland"
"Madison Avenue","group",1999,"Australia"
"Céline Dion","artist",1968,"Canada"
"3 Doors Down","group",1996,"United States"
"Carl Thomas","artist",1972,"United States"
"Mystikal","artist",1970,"United States"
"Fuel","group",1989,"United States"
"Savage Garden","group",1994,"Australia"
"Westlife","group",1998,"Ireland"
"All Saints","group",1993,"United Kingdom"
