artist,apariciones,popularity
"Kings of Leon",2,80.00
blink-182,1,79.00
Hoobastank,1,79.00
"Bon Jovi",1,78.00
"Jimmy Eat World",1,78.00
"My Chemical Romance",2,78.00
"Plain White T's",1,78.00
"The Offspring",1,78.00
Estelle,1,78.00
"Owl City",1,78.00
Miguel,1,78.00
"Dr. Dre",3,77.33
"Red Hot Chili Peppers",5,77.20
Modjo,1,77.00
Train,1,77.00
"Foo Fighters",2,77.00
MGMT,1,77.00
"Empire of the Sun",1,77.00
"Bruno Mars",3,77.00
Stromae,1,77.00
"Flo Rida",3,76.67
Gorillaz,3,76.33
Shaggy,1,76.00
"Daft Punk",1,76.00
"All Time Low",1,76.00
"Carrie Underwood",1,76.00
"Justin Bieber",2,76.00
M83,1,76.00
"Linkin Park",8,75.63
"Alien Ant Farm",1,75.00
"Vanessa Carlton",1,75.00
Audioslave,1,75.00
Muse,2,75.00
"Kardinal Offishall",1,75.00
Skillet,1,75.00
Iyaz,1,75.00
"Mike Posner",1,75.00
"Wiz Khalifa",1,75.00
Coldplay,7,74.86
"The Strokes",1,74.00
"Green Day",3,74.00
"Daniel Powter",1,74.00
"Thirty Seconds To Mars",1,74.00
"Gnarls Barkley",1,74.00
"The Red Jumpsuit Apparatus",1,74.00
"Lady Gaga",9,73.33
"Alice Deejay",1,73.00
Cassie,1,73.00
"The Fray",3,73.00
"The Kooks",1,73.00
"Alex Gaudino",1,73.00
"Finger Eleven",2,73.00
Seether,1,73.00
"Lady A",1,73.00
"Fall Out Boy",3,72.67
"Selena Gomez & The Scene",3,72.67
Eminem,18,72.56
Timbaland,5,72.20
Shakira,5,72.00
"The Calling",1,72.00
Evanescence,3,72.00
"Three Days Grace",1,72.00
Trapt,1,72.00
Paramore,1,72.00
"Sean Kingston",4,72.00
"Kid Cudi",1,72.00
"Travie McCoy",1,72.00
"Limp Bizkit",3,71.67
"Taio Cruz",3,71.67
"50 Cent",9,71.11
Wheatus,1,71.00
"Blu Cantrell",1,71.00
"Crazy Town",1,71.00
Rihanna,18,71.00
Chamillionaire,1,71.00
B.o.B,3,71.00
"Young Money",1,71.00
"David Guetta",6,70.83
"Maroon 5",4,70.75
"Soulja Boy",4,70.75
DMX,2,70.50
T.I.,7,70.43
"The Game",3,70.33
Juanes,1,70.00
"James Blunt",3,70.00
"Arctic Monkeys",3,70.00
"Amy Winehouse",3,70.00
"Panic! At The Disco",1,70.00
Madcon,1,70.00
LMFAO,2,70.00
"Avril Lavigne",9,69.67
Kesha,6,69.67
"Justin Timberlake",9,69.56
Jeremih,2,69.50
Darude,1,69.00
Outkast,5,69.00
P.O.D.,1,69.00
Enya,1,69.00
Jamelia,1,69.00
"Franz Ferdinand",2,69.00
Stereophonics,1,69.00
"Saving Abel",1,69.00
Duffy,1,69.00
"Diddy - Dirty Money",1,69.00
Pitbull,4,68.50
"Katy Perry",8,68.38
"The Corrs",1,68.00
Afroman,1,68.00
"Lenny Kravitz",1,68.00
Travis,1,68.00
"Good Charlotte",1,68.00
"The Rasmus",1,68.00
"The Notorious B.I.G.",1,68.00
"The Fratellis",1,68.00
"Jonas Brothers",1,68.00
"Mumford & Sons",1,68.00
Nickelback,9,67.78
"Chris Brown",11,67.64
Ne-Yo,7,67.57
"KT Tunstall",2,67.50
"Cobra Starship",2,67.50
"Backstreet Boys",3,67.00
Camâ€™ron,1,67.00
"Puddle Of Mudd",2,67.00
"Pharrell Williams",1,67.00
"Junior Senior",1,67.00
"Terror Squad",1,67.00
"Nina Sky",1,67.00
"Kevin Lyttle",1,67.00
"Crazy Frog",1,67.00
"Toby Keith",1,67.00
"Lil Jon",1,67.00
"Metro Station",1,67.00
"David Archuleta",1,67.00
Shinedown,1,67.00
"Far East Movement",2,67.00
"Waka Flocka Flame",2,67.00
JAY-Z,10,66.90
"Jason Derulo",5,66.80
"Britney Spears",18,66.56
"The Pussycat Dolls",8,66.38
"Toni Braxton",1,66.00
D12,3,66.00
"Ja Rule",3,66.00
"Las Ketchup",1,66.00
"Chad Kroeger",1,66.00
"Benny Benassi",1,66.00
"Mario Winans",1,66.00
"Yung Joc",1,66.00
OneRepublic,3,66.00
"Kevin Rudolf",1,66.00
"Edward Maya",2,66.00
"Cali Swag District",1,66.00
Nelly,10,65.90
Eve,2,65.50
"Black Eyed Peas",14,65.50
"3 Doors Down",5,65.40
"Gwen Stefani",5,65.40
Usher,10,65.30
"Sean Paul",7,65.29
"Leona Lewis",4,65.25
"Kanye West",15,65.07
"Tom Jones",1,65.00
"Baha Men",1,65.00
Lasgo,1,65.00
Jamiroquai,1,65.00
"The Shapeshifters",1,65.00
"Gary Jules",1,65.00
"Bobby V.",1,65.00
"The All-American Rejects",2,65.00
Cherish,1,65.00
September,2,65.00
Klaxons,1,65.00
Agnes,1,65.00
