song,artist,energy
"Oops!...I Did It Again","Britney Spears",0.834
"All The Small Things",blink-182,0.897
"It's My Life","Bon Jovi",0.913
"Bye Bye Bye",*NSYNC,0.928
"Thong Song",Sisqo,0.888
"Rock DJ","Robbie Williams",0.772
"Lady - Hear Me Tonight",Modjo,0.808
"L'Amour Toujours","Gigi D'Agostino",0.728
"Move Your Body - Gabry Ponte Original Radio Edit","Eiffel 65",0.958
Freestyler,"Bomfunk MC's",0.922
"I'm Outta Love - Radio Edit",Anastacia,0.716
"Better Off Alone","Alice Deejay",0.88
"The Riddle","Gigi D'Agostino",0.876
"The Next Episode","Dr. Dre",0.909
"In the End","Linkin Park",0.864
Sexbomb,"Tom Jones",0.876
"Cold as Ice",M.O.P.,0.88
"I Turn To You","Melanie C",0.803
"Take A Look Around","Limp Bizkit",0.852
Sandstorm,Darude,0.965
"The Time Is Now",Moloko,0.743
"Don't Give Up",Chicane,0.72
"Party Up",DMX,0.931
Music,Madonna,0.802
"Born to Make You Happy","Britney Spears",0.922
"Big Pimpin'",JAY-Z,0.814
"I Need You","LeAnn Rimes",0.736
"Be With You","Enrique Iglesias",0.866
"He Wasn't Man Enough","Toni Braxton",0.947
"Bounce With Me (feat. Xscape) - Edited Album Version","Bow Wow",0.75
"Forgot About Dre","Dr. Dre",0.74
"Shackles (Praise You)","Mary Mary",0.834
"Doesn't Really Matter","Janet Jackson",0.796
"She Bangs - English Version","Ricky Martin",0.95
"He Can't Love U","Jagged Edge",0.836
"I Just Wanna Love U (Give It 2 Me)",JAY-Z,0.922
"Who Let The Dogs Out","Baha Men",0.887
"Can't Fight The Moonlight","LeAnn Rimes",0.834
"Go Let It Out",Oasis,0.849
"Hey Baby (Radio Mix)","DJ Ã–tzi",0.968
"Most Girls",P!nk,0.732
"Fill Me In","Craig David",0.744
"American Pie",Madonna,0.734
Otherside,"Red Hot Chili Peppers",0.795
"7 Days","Craig David",0.812
"There You Go",P!nk,0.847
"Shalala Lala",Vengaboys,0.901
"Life Is A Rollercoaster","Ronan Keating",0.791
"Don't Call Me Baby","Madison Avenue",0.982
"That's the Way It Is","CÃ©line Dion",0.886
Kryptonite,"3 Doors Down",0.865
"Hemorrhage (In My Hands)",Fuel,0.831
"It's Gonna Be Me",*NSYNC,0.874
"You Sang To Me","Marc Anthony",0.894
Bent,"Matchbox Twenty",0.83
"Shape of My Heart","Backstreet Boys",0.786
Breathless,"The Corrs",0.82
"Teenage Dirtbag",Wheatus,0.85
"Come on over Baby (All I Want Is You) - Radio Version","Christina Aguilera",0.915
Higher,Creed,0.83
Lucky,"Britney Spears",0.791
Survivor,"Destiny's Child",0.911
Stan,Eminem,0.768
"Lady Marmalade - From "Moulin Rouge"" Soundtrack"","Christina Aguilera",0.801
"Whenever, Wherever",Shakira,0.832
"The Middle","Jimmy Eat World",0.849
"It's Raining Men","Geri Halliwell",0.929
"Hit 'Em Up Style (Oops!)","Blu Cantrell",0.773
"I'm a Slave 4 U","Britney Spears",0.843
"In Your Eyes","Kylie Minogue",0.894
"We Come 1 - Radio Edit",Faithless,0.903
"Rollin' (Air Raid Vehicle)","Limp Bizkit",0.933
Something,Lasgo,0.981
"Rapture (feat.Nadia Ali)",iio,0.855
"What Took You So Long?","Emma Bunton",0.772
"It's Over Now",112,0.71
"All Rise",Blue,0.737
Irresistible,"Jessica Simpson",0.965
Butterfly,"Crazy Town",0.811
"Ain't It Funny","Jennifer Lopez",0.869
"Another Day in Paradise - R&B-Version",Brandy,0.787
"How You Remind Me",Nickelback,0.764
"Ms. Jackson",Outkast,0.806
"Everytime You Need Me - Radio Version",Fragma,0.917
Loverboy,"Mariah Carey",0.79
"Stutter (feat. Mystikal) - Double Take Remix",Joe,0.759
"Youth of the Nation",P.O.D.,0.86
Play,"Jennifer Lopez",0.729
"Get Ur Freak On","Missy Elliott",0.75
"Nobody Wants to Be Lonely (with Christina Aguilera)","Ricky Martin",0.854
"AM To PM","Christina Milian",0.868
"Another Chance","Roger Sanchez",0.82
"Until The End Of Time",2Pac,0.706
"No More Drama","Mary J. Blige",0.837
"Love Don't Cost a Thing","Jennifer Lopez",0.842
"Little L",Jamiroquai,0.724
"Let's Dance - Radio Edit",Five,0.821
