song,artist,tempo,valence
"All The Small Things",blink-182,148.726,0.684
"Bye Bye Bye",*NSYNC,172.656,0.879
"Thong Song",Sisqo,121.549,0.714
"Say My Name","Destiny's Child",138.009,0.734
"Lady - Hear Me Tonight",Modjo,126.041,0.869
"L'Amour Toujours","Gigi D'Agostino",139.066,0.808
"Move Your Body - Gabry Ponte Original Radio Edit","Eiffel 65",129.962,0.96
"Better Off Alone","Alice Deejay",136.953,0.782
"The Riddle","Gigi D'Agostino",127.002,0.825
Sexbomb,"Tom Jones",122.979,0.932
"Spinning Around","Kylie Minogue",120.043,0.631
"Big Pimpin'",JAY-Z,138.083,0.942
"Forgot About Dre","Dr. Dre",133.974,0.621
"Show Me the Meaning of Being Lonely","Backstreet Boys",167.998,0.683
"She Bangs - English Version","Ricky Martin",143.866,0.858
"Who Let The Dogs Out","Baha Men",129.221,0.784
"Hey Baby (Radio Mix)","DJ Ã–tzi",135.099,0.834
"Fill Me In","Craig David",132.493,0.827
"I Like It",Sammie,129.963,0.852
"Shalala Lala",Vengaboys,124.017,0.973
"Don't Call Me Baby","Madison Avenue",124.999,0.961
"It's Gonna Be Me",*NSYNC,165.09,0.882
"You Sang To Me","Marc Anthony",165.98,0.741
Rise,Gabrielle,144.673,0.631
Breathless,"The Corrs",126.988,0.768
Survivor,"Destiny's Child",161.109,0.619
"Can't Get You out of My Head","Kylie Minogue",126.007,0.964
"The Middle","Jimmy Eat World",162.152,0.903
"It's Raining Men","Geri Halliwell",136.482,0.604
"In Your Eyes","Kylie Minogue",123.971,0.709
"We Come 1 - Radio Edit",Faithless,135.977,0.61
"Rapture (feat.Nadia Ali)",iio,123.943,0.601
"Everytime You Need Me - Radio Version",Fragma,137.029,0.79
"Get Ur Freak On","Missy Elliott",177.87,0.74
"Little L",Jamiroquai,121.906,0.904
"Peaches & Cream",112,203.862,0.768
"Touch Me (Radio Edit) [feat. Cassandra]","Rui Da Silva",129.078,0.695
"Smooth Criminal","Alien Ant Farm",126.928,0.87
"Purple Pills",D12,125.25,0.754
"Where the Party At (feat. Nelly)","Jagged Edge",129.491,0.86
"Because I Got High",Afroman,166.01,0.849
"Fill Me In","Craig David",132.493,0.827
"Turn Off The Light","Nelly Furtado",180.184,0.65
"Starlight - Radio Edit","The Supermen Lovers",127.487,0.786
"All I Want - Sunship Radio Edit",Mis-Teeq,134.079,0.96
Promise,"Jagged Edge",128.002,0.646
"Gotta Get Thru This - D'N'D Radio Edit","Daniel Bedingfield",133.592,0.941
"Do You Really Like It? - Radio Edit","DJ Pied Piper & The Masters Of Ceremonies",131.044,0.764
"21 Seconds","So Solid Crew",137.03,0.818
Romeo,"Basement Jaxx",126.853,0.844
Rise,Gabrielle,144.673,0.631
Dilemma,Nelly,168.189,0.607
"Underneath It All","No Doubt",138.202,0.839
"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",Diddy,199.764,0.779
"If I Could Go! (feat. Lil' Mo & Sacario)","Angie Martinez",195.685,0.7
"The Ketchup Song (AserejÃ©) - Spanglish Version","Las Ketchup",184.819,0.868
"Round Round",Sugababes,126.607,0.749
"4 My People (feat. Eve)","Missy Elliott",121.392,0.905
"Oops (Oh My) [feat. Missy Elliott]",Tweet,159.963,0.775
"Spinning Around","Kylie Minogue",120.043,0.631
"Nu Flow","Big Brovaz",148.062,0.784
"Cleanin' Out My Closet",Eminem,148.015,0.87
"Get the Party Started",P!nk,128.93,0.96
"Gotta Get Thru This - D'N'D Radio Edit","Daniel Bedingfield",133.592,0.924
Heaven,"DJ Sammy",137.965,0.601
"Rollout (My Business)",Ludacris,131.059,0.892
