song,year,duration_ms,explicit,popularity,song_id,artist_id,genre_id,caracteristicas_id
Oops!...I Did It Again,2000,211160,False,77,1,1.0,1,1
All The Small Things,1999,167066,False,79,2,2.0,2,2
Breathe,1999,250546,False,66,3,3.0,1,3
It's My Life,2000,224493,False,78,4,4.0,2,4
Bye Bye Bye,2000,200560,False,65,5,5.0,1,5
Thong Song,1999,253733,True,69,6,6.0,3,6
The Real Slim Shady,2000,284200,True,86,7,7.0,3,7
Rock DJ,2000,258560,False,68,8,8.0,1,8
Say My Name,1999,271333,False,75,9,9.0,1,9
Lady - Hear Me Tonight,2001,307153,False,77,10,10.0,4,10
L'Amour Toujours,2011,238759,False,1,11,11.0,1,11
Move Your Body - Gabry Ponte Original Radio Edit,1999,268863,False,56,12,12.0,1,12
Freestyler,2000,306333,False,55,13,13.0,1,13
Desert Rose,1999,285960,False,62,14,14.0,2,14
Never Be The Same Again,1999,294200,False,61,15,15.0,1,15
Try Again,2002,284000,False,53,16,16.0,3,16
I'm Outta Love - Radio Edit,1999,245400,False,64,17,17.0,1,17
Better Off Alone,2000,214883,False,73,18,18.0,1,18
The Riddle,1999,285426,False,64,19,11.0,1,19
The Next Episode,1999,161506,True,82,20,19.0,3,20
In the End,2000,216880,False,83,21,20.0,2,21
Sexbomb,1999,211893,False,65,22,21.0,2,22
It Feels So Good,2000,240866,False,62,23,22.0,1,23
Cold as Ice,2000,244466,True,54,24,23.0,3,24
I Turn To You,1999,352173,False,54,25,15.0,1,25
Take A Look Around,2000,321040,False,72,26,24.0,5,26
Sandstorm,2001,225493,False,69,27,25.0,1,27
What'chu Like (feat. Tyrese),2000,221160,True,53,28,26.0,3,28
The Time Is Now,2000,318280,False,54,29,27.0,1,29
Don't Give Up,2016,210786,False,47,30,28.0,4,30
Party Up,1999,268866,True,71,31,29.0,3,31
Dance with Me,2000,220106,False,49,32,30.0,1,32
Music,2000,225973,False,58,33,31.0,1,33
No More,2000,242560,False,52,34,32.0,6,34
Born to Make You Happy,1999,243533,False,58,35,1.0,1,35
Get It On Tonite,1999,276266,False,59,36,33.0,3,36
Spinning Around,2000,207866,False,55,37,34.0,1,37
Big Pimpin',1999,283066,True,69,38,35.0,3,38
I Need You,2001,229826,False,61,39,36.0,1,39
Separated,2000,255600,False,55,40,37.0,1,40
Be With You,1999,219360,False,54,41,38.0,1,41
He Wasn't Man Enough,2000,261933,False,66,42,39.0,1,42
Bounce With Me (feat. Xscape) - Edited Album Version,2000,175893,False,36,43,40.0,3,43
Forgot About Dre,1999,222293,True,79,44,19.0,3,44
Hot Boyz,1998,215466,True,49,45,41.0,3,45
Show Me the Meaning of Being Lonely,1999,234960,False,68,46,42.0,1,46
Gotta Tell You,2018,201946,False,43,47,43.0,1,47
Case Of The Ex (Whatcha Gonna Do),2000,236906,False,59,48,44.0,1,48
Shackles (Praise You),2000,198346,False,64,49,45.0,6,49
Wifey,2004,243666,False,52,50,46.0,3,50
Doesn't Really Matter,2001,265026,False,47,51,47.0,1,51
She Bangs - English Version,2000,280626,False,60,52,48.0,1,52
He Can't Love U,2000,244053,False,55,53,49.0,3,53
Incomplete,1999,274226,True,60,54,6.0,3,54
I Just Wanna Love U (Give It 2 Me),2000,227866,True,59,55,35.0,3,55
Thank God I Found You (feat. Joe & 98°),1999,257360,False,59,56,50.0,1,56
Who Let The Dogs Out,2000,198400,False,65,57,51.0,6,57
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",1999,243733,True,63,58,52.0,1,58
Can't Fight The Moonlight,2001,215506,False,65,59,36.0,1,59
Go Let It Out,2000,278666,False,0,60,53.0,7,60
Hey Baby (Radio Mix),2010,219240,False,58,61,54.0,1,61
Most Girls,2000,298960,False,52,62,55.0,1,62
Against All Odds (Take A Look at Me Now) (feat. Westlife),2011,199480,False,0,63,50.0,1,63
Fill Me In,2000,257200,False,60,64,56.0,3,64
I Turn to You,1999,273706,False,61,65,57.0,1,65
American Pie,2000,273533,False,58,66,31.0,1,66
Otherside,1999,255373,False,78,67,58.0,2,67
I Like It,2000,251040,False,55,68,59.0,3,68
7 Days,2000,235133,False,70,69,56.0,3,69
Maria Maria (feat. The Product G&B),1999,261973,False,66,70,60.0,2,70
Don't Think I'm Not,2000,243533,False,55,71,61.0,1,71
There You Go,2000,202800,False,55,72,55.0,1,72
Shalala Lala,2000,214819,False,58,73,62.0,1,73
Life Is A Rollercoaster,2000,234826,False,59,74,63.0,1,74
Don't Call Me Baby,1999,228140,False,56,75,64.0,4,75
"Jumpin', Jumpin'",1999,230200,False,70,76,9.0,1,76
That's the Way It Is,1999,241373,False,64,77,65.0,1,77
Kryptonite,2000,233933,False,78,78,66.0,1,78
I Wish,2000,226760,False,52,79,67.0,1,79
Shake Ya Ass,2000,256973,True,57,80,68.0,3,80
Hemorrhage (In My Hands),2000,236866,False,49,81,69.0,2,81
Where I Wanna Be,1999,253626,False,57,82,52.0,1,82
Crash and Burn,1999,281466,False,54,83,70.0,1,83
My Love,2000,231760,False,68,84,71.0,1,84
Pure Shores,2000,268746,False,62,85,72.0,1,85
"Independent Women, Pt. 1",2001,221133,False,65,86,9.0,1,86
It's Gonna Be Me,2000,191040,False,60,87,5.0,1,87
Bag Lady,2000,348893,False,54,88,73.0,3,88
You Sang To Me,1999,347106,False,56,89,74.0,1,89
Bent,2000,256133,False,54,90,75.0,1,90
Rise,2001,219093,False,60,91,76.0,1,91
Shape of My Heart,2000,230093,False,70,92,42.0,1,92
With Arms Wide Open,1999,274800,False,64,93,77.0,1,93
Breathless,2000,207506,False,68,94,78.0,1,94
I Wanna Know,2000,296693,False,65,95,79.0,1,95
Teenage Dirtbag,1999,241666,True,71,96,80.0,8,96
Come on over Baby (All I Want Is You) - Radio Version,1999,203333,False,64,97,57.0,1,97
Higher,1999,316733,False,69,98,77.0,1,98
Lucky,2000,206226,False,65,99,1.0,1,99
Country Grammar (Hot Shit),2000,287000,True,68,100,81.0,3,100
It Wasn't Me,2000,227600,False,76,101,82.0,3,101
Survivor,2001,254026,False,70,102,9.0,1,102
Stan,2000,404106,True,83,103,7.0,3,103
Can't Get You out of My Head,2001,230640,False,73,104,34.0,1,104
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",2001,264893,False,68,105,57.0,1,105
I'm Like A Bird,2000,243160,False,1,106,83.0,3,106
"Whenever, Wherever",2001,196160,False,74,107,84.0,1,107
The Middle,2001,165853,False,78,108,85.0,2,108
Drops of Jupiter (Tell Me),2001,259933,False,77,109,86.0,1,109
It's Raining Men,2001,254640,False,62,110,87.0,1,110
Hit 'Em Up Style (Oops!),2001,250706,False,71,111,88.0,1,111
I'm a Slave 4 U,2001,203600,False,69,112,1.0,1,112
In Your Eyes,2001,197826,False,62,113,34.0,1,113
One Minute Man (feat. Ludacris),2001,252986,True,57,114,41.0,3,114
Family Affair,2001,265866,False,76,115,89.0,1,115
We Come 1 - Radio Edit,2015,222435,False,53,116,90.0,1,116
Rollin' (Air Raid Vehicle),2000,213760,True,73,117,24.0,5,117
Something,2001,220973,False,65,118,91.0,1,118
Rapture (feat.Nadia Ali),2006,253586,False,54,119,92.0,4,119
What Took You So Long?,2001,241000,False,54,120,93.0,1,120
It's Over Now,2001,264933,False,57,121,94.0,3,121
All Rise,2001,223546,False,63,122,95.0,1,122
Irresistible,2001,194026,False,43,123,96.0,1,123
Butterfly,1999,216733,False,71,124,97.0,2,124
You Rock My World,2001,337733,False,64,125,98.0,1,125
Let Me Blow Ya Mind,2001,230133,True,73,126,99.0,3,126
Ain't It Funny,2001,246160,False,0,127,100.0,3,127
Another Day in Paradise - R&B-Version,2002,271626,False,50,128,101.0,3,128
How You Remind Me,2001,223840,False,78,129,102.0,2,129
One More Time,2001,320357,False,76,130,103.0,3,130
Ms. Jackson,2000,270506,True,82,131,104.0,3,131
Everytime You Need Me - Radio Version,2001,213346,False,50,132,105.0,1,132
Loverboy,2001,229173,False,42,133,50.0,1,133
Thank You,1999,218360,False,73,134,106.0,1,134
Stutter (feat. Mystikal) - Double Take Remix,2000,213026,False,57,135,79.0,1,135
Youth of the Nation,2001,256240,False,69,136,107.0,2,136
Play,2001,211493,True,57,137,100.0,3,137
Get Ur Freak On,2001,211120,True,68,138,41.0,3,138
Nobody Wants to Be Lonely (with Christina Aguilera),2008,252706,False,52,139,48.0,1,139
AM To PM,2001,231213,False,60,140,108.0,3,140
Another Chance,2000,452906,False,50,141,109.0,4,141
Clint Eastwood,2001,340920,True,74,142,110.0,3,142
Until The End Of Time,2001,266506,True,57,143,111.0,3,143
Stranger in My House,2000,285386,False,48,144,112.0,1,144
No More Drama,2001,326240,False,61,145,89.0,1,145
Love Don't Cost a Thing,2001,221226,False,67,146,100.0,3,146
Little L,2001,295400,False,65,147,113.0,1,147
Missing You,2001,284666,False,55,148,114.0,3,148
Peaches & Cream,2001,193093,False,63,149,94.0,3,149
Let's Dance - Radio Edit,2001,218626,False,47,150,115.0,1,150
Touch Me (Radio Edit) [feat. Cassandra],2001,213133,False,54,151,116.0,4,151
Smooth Criminal,2001,209266,False,75,152,117.0,2,152
Music (feat. Marvin Gaye),2001,223133,True,57,153,118.0,3,153
Purple Pills,2001,304506,True,68,154,119.0,3,154
Pop Ya Collar - Radio Edit,2016,210813,False,26,155,120.0,3,155
Don't Tell Me,2000,280973,False,53,156,31.0,1,156
If You Come Back,2001,207560,False,58,157,95.0,1,157
Eternal Flame - Single Version,2001,195506,False,58,158,121.0,1,158
Where the Party At (feat. Nelly),2001,232573,False,67,159,49.0,3,159
Because I Got High,2001,197760,True,68,160,122.0,3,160
Don't Stop Movin',2001,233626,False,63,161,123.0,1,161
Fill Me In,2000,257200,False,60,162,56.0,3,162
Turn Off The Light,2000,276106,False,1,163,83.0,3,163
Starlight - Radio Edit,2001,234400,False,61,164,124.0,4,164
All I Want - Sunship Radio Edit,2004,207400,False,46,165,125.0,1,165
Promise,2000,246720,False,56,166,49.0,3,166
Have You Ever,2001,201533,False,60,167,123.0,1,167
Only Time,2000,218546,False,69,168,126.0,9,168
There You'll Be,2001,222120,False,60,169,3.0,1,169
Lovin' Each Day,2000,212973,False,58,170,63.0,1,170
Bootylicious,2001,207906,False,64,171,9.0,1,171
It's the Way You Make Me Feel,2000,197360,False,53,172,127.0,1,172
Heard It All Before,2001,295826,False,56,173,128.0,1,173
Again,2000,231666,False,68,174,129.0,2,174
Gotta Get Thru This - D'N'D Radio Edit,2002,162333,False,46,175,130.0,1,175
Point Of View - Radio Edit,2018,231166,False,0,176,131.0,4,176
All For You,2001,329933,False,65,177,47.0,1,177
Whole Again,2001,185013,False,66,178,121.0,1,178
Livin' It Up,2001,257066,False,64,179,132.0,3,179
"Independent Women, Pt. 1",2001,221133,False,65,180,9.0,1,180
